exp_idx,epoch,train_loss,train_acc,val_loss,val_acc
6,1,0.7196159924779619,0.5196428571428572,0.561152438322703,0.7083333333333334
6,2,0.5751864424773625,0.6267857142857143,0.4973204731941223,0.7583333333333333
6,3,0.48489889076777865,0.6196428571428572,0.4216403524080912,0.8083333333333333
6,4,0.4809418133326939,0.6589285714285714,0.37869337797164915,0.8583333333333333
6,5,0.42013140746525357,0.7,0.35340116620063783,0.875
6,6,0.40443518246923177,0.6464285714285715,0.3213063657283783,0.875
6,7,0.37666556750025065,0.6892857142857143,0.30553526679674786,0.8666666666666667
6,8,0.3541584368262972,0.7,0.28916140596071876,0.875
6,9,0.3775113970041275,0.6017857142857143,0.2826594849427541,0.8666666666666667
6,10,0.3163900775568826,0.6767857142857143,0.25367526710033417,0.9166666666666666
6,11,0.37208837824208396,0.6392857142857142,0.25879178643226625,0.875
6,12,0.3467461752040046,0.7035714285714286,0.25298529863357544,0.9
6,13,0.3238937741943768,0.7053571428571429,0.2507818420728048,0.9166666666666666
6,14,0.3283295501555715,0.7035714285714286,0.26506638328234355,0.8666666666666667
6,15,0.29553138741425106,0.7946428571428571,0.24899412194887796,0.875
6,16,0.32600071685654775,0.7357142857142858,0.2364195853471756,0.8916666666666667
6,17,0.2864946744271687,0.7517857142857143,0.22825566132863362,0.9083333333333333
6,18,0.3055696474654334,0.6571428571428571,0.23031224707762402,0.8916666666666667
6,19,0.26918493285775186,0.7410714285714286,0.22993257641792297,0.9166666666666666
6,20,0.28335293318544114,0.7267857142857143,0.22458734412988027,0.9083333333333333
6,21,0.31584177070430347,0.7285714285714285,0.22021577656269073,0.9333333333333333
6,22,0.2501094288059643,0.7857142857142857,0.21880507469177246,0.925
6,23,0.265850978238242,0.6696428571428571,0.21131222546100617,0.925
6,24,0.23946567603519986,0.7660714285714286,0.207591246565183,0.925
6,25,0.2700836105006082,0.7303571428571428,0.22516202827294668,0.925
6,26,0.244542652794293,0.7375,0.2081912318865458,0.925
6,27,0.2924746524010386,0.7410714285714286,0.20813018480936687,0.9166666666666666
