exp_idx,dropout,pos_weight,lr,val_loss,val_acc,test_loss,test_acc
1,0.3,1.4,0.001,0.14100080703695614,0.9166666666666666,0.32120956977208454,0.8916666666666667
2,0.3,1.55,0.001,0.2199756639699141,0.9166666666666666,0.21659312670429548,0.9083333333333333
3,0.3,1.4,0.0005,0.2656109427412351,0.875,0.36921804149945575,0.85
4,0.3,1.55,0.0005,0.2997253460188707,0.875,0.36350895365079244,0.8083333333333333
5,0.4,1.4,0.001,0.19761325170596442,0.9,0.343442565202713,0.8583333333333333
6,0.4,1.55,0.001,0.25465019245942433,0.9,0.32461185455322267,0.8666666666666667
7,0.4,1.4,0.0005,0.31075502932071686,0.8333333333333334,0.35714072982470196,0.875
8,0.4,1.55,0.0005,0.28200373351573943,0.875,0.2693176319201787,0.8833333333333333
