exp_idx,epoch,train_loss,train_acc,val_loss,val_acc
3,1,1.5932496244353906,0.6017857142857143,1.2603536749879518,0.8333333333333334
3,2,1.3005017476422447,0.7142857142857143,0.573939823359251,0.8583333333333333
3,3,0.6981771549476045,0.7160714285714286,0.670637072622776,0.8583333333333333
3,4,0.5584678735584021,0.7357142857142858,0.4149521370728811,0.8166666666666667
3,5,0.41145971257771763,0.7303571428571428,0.3571562175949415,0.875
3,6,0.4057692454928266,0.7321428571428571,0.37419538547595343,0.8416666666666667
3,7,0.45570699641747137,0.7357142857142858,0.42940926079948744,0.875
3,8,0.31798801720142367,0.7321428571428571,0.2868266423543294,0.875
3,9,0.37395681738853453,0.6446428571428572,0.2656109427412351,0.8916666666666667
3,10,0.2850776582956314,0.7196428571428571,0.29958951075871787,0.875
3,11,0.34074408167174886,0.6553571428571429,0.3225094596544901,0.8833333333333333
3,12,0.28546656274369786,0.6589285714285714,0.31980620821317035,0.875
