exp_idx,dropout,channels,pos_weight,lr,val_loss,val_acc,test_loss,test_acc
75,0.5,32,1.55,0.001,0.3309087991714478,0.9,0.3473752160867055,0.8666666666666667
76,0.5,32,1.2,0.0005,0.33982640902201333,0.8916666666666667,0.39899648626645406,0.825
77,0.5,32,1.3,0.0005,0.3387055993080139,0.9,0.38728080590566,0.8333333333333334
78,0.5,32,1.4,0.0005,0.33827516039212546,0.9,0.39278714259465536,0.8333333333333334
79,0.5,32,1.5,0.0005,0.33490013678868613,0.9,0.39103321234385174,0.8333333333333334
80,0.5,32,1.55,0.0005,0.33335162202517193,0.9,0.3807358543078105,0.8416666666666667
81,0.5,64,1.2,0.001,0.2720551133155823,0.9083333333333333,0.33929306467374165,0.8666666666666667
82,0.5,64,1.3,0.001,0.26837531924247743,0.9083333333333333,0.3352541148662567,0.875
83,0.5,64,1.4,0.001,0.2678757687409719,0.9083333333333333,0.32832720279693606,0.875
84,0.5,64,1.5,0.001,0.26959474285443624,0.9,0.330219970146815,0.8833333333333333
85,0.5,64,1.55,0.001,0.26770397226015724,0.9,0.32712726990381874,0.875
86,0.5,64,1.2,0.0005,0.2986899435520172,0.9083333333333333,0.35310404698053993,0.8416666666666667
87,0.5,64,1.3,0.0005,0.29809657533963524,0.9083333333333333,0.3485045373439789,0.85
88,0.5,64,1.4,0.0005,0.29692356189092,0.9,0.34633607268333433,0.8666666666666667
89,0.5,64,1.5,0.0005,0.2950212995211283,0.9,0.3407343029975891,0.8666666666666667
90,0.5,64,1.55,0.0005,0.295734437306722,0.9,0.3388036866982778,0.8666666666666667
