exp_idx,dropout,channels,freq_mask,time_mask,num_masks,mixup_alpha,lr,pos_weight,val_loss,val_acc,test_loss,test_acc
1,0.3,16,10,10,1,0.2,0.001,1.2,0.4140800138314565,0.8,0.49074315627415976,0.7583333333333333
2,0.3,16,10,10,1,0.2,0.001,1.4,0.413690322637558,0.8083333333333333,0.4813731789588928,0.775
3,0.3,16,10,10,1,0.2,0.001,1.5,0.41274182399113973,0.8166666666666667,0.4748278061548869,0.775
4,0.3,16,10,10,1,0.2,0.001,1.55,0.41143450140953064,0.8083333333333333,0.47434110641479493,0.7833333333333333
5,0.3,16,10,10,1,0.2,0.0001,1.2,0.5135817805926005,0.775,0.561921493212382,0.7833333333333333
6,0.3,16,10,10,1,0.2,0.0001,1.4,0.512390673160553,0.7916666666666666,0.5512301365534464,0.775
7,0.3,16,10,10,1,0.2,0.0001,1.5,0.5110451857248942,0.7583333333333333,0.545122750600179,0.75
8,0.3,16,10,10,1,0.2,0.0001,1.55,0.5101978302001953,0.775,0.5420643806457519,0.75
9,0.3,32,10,10,1,0.2,0.001,1.2,0.39219390948613486,0.8166666666666667,0.4957655350367228,0.7583333333333333
10,0.3,32,10,10,1,0.2,0.001,1.4,0.39234307408332825,0.8,0.49089094003041583,0.7583333333333333
11,0.3,32,10,10,1,0.2,0.001,1.5,0.39167441527048746,0.825,0.48497328758239744,0.75
12,0.3,32,10,10,1,0.2,0.001,1.55,0.3912000358104706,0.8333333333333334,0.48393770853678386,0.7583333333333333
13,0.3,32,10,10,1,0.2,0.0001,1.2,0.4560450275739034,0.775,0.5482212821642558,0.725
14,0.3,32,10,10,1,0.2,0.0001,1.4,0.45576380093892416,0.7916666666666666,0.5377090692520141,0.7416666666666667
15,0.3,32,10,10,1,0.2,0.0001,1.5,0.45437459150950116,0.7666666666666667,0.5321030894915263,0.75
16,0.3,32,10,10,1,0.2,0.0001,1.55,0.4535969376564026,0.7666666666666667,0.5291934172312419,0.75
17,0.3,64,10,10,1,0.2,0.001,1.2,0.3689036965370178,0.8416666666666667,0.4889966289202372,0.7666666666666667
18,0.3,64,10,10,1,0.2,0.001,1.4,0.3680984616279602,0.85,0.49065377314885456,0.7666666666666667
19,0.3,64,10,10,1,0.2,0.001,1.5,0.36748330990473427,0.8416666666666667,0.4867377996444702,0.7666666666666667
20,0.3,64,10,10,1,0.2,0.001,1.55,0.3662109951178233,0.8333333333333334,0.4825606385866801,0.775
21,0.3,64,10,10,1,0.2,0.0001,1.2,0.41990456779797874,0.8083333333333333,0.5574162364006042,0.75
22,0.3,64,10,10,1,0.2,0.0001,1.4,0.4195423245429993,0.8166666666666667,0.5478178461392721,0.725
23,0.3,64,10,10,1,0.2,0.0001,1.5,0.41849036812782286,0.8,0.5423816283543904,0.7333333333333333
24,0.3,64,10,10,1,0.2,0.0001,1.55,0.4179903507232666,0.8,0.5397447307904562,0.7333333333333333
25,0.5,16,10,10,1,0.2,0.001,1.2,0.44994407892227173,0.7916666666666666,0.49736916621526084,0.7916666666666666
26,0.5,16,10,10,1,0.2,0.001,1.4,0.4485007842381795,0.8083333333333333,0.4866317550341288,0.7916666666666666
27,0.5,16,10,10,1,0.2,0.001,1.5,0.44711639881134035,0.8166666666666667,0.48067192633946737,0.7833333333333333
28,0.5,16,10,10,1,0.2,0.001,1.55,0.44807618856430054,0.8,0.4769689043362935,0.7833333333333333
29,0.5,16,10,10,1,0.2,0.0001,1.2,0.5292580048243205,0.7833333333333333,0.5692906022071839,0.7666666666666667
30,0.5,16,10,10,1,0.2,0.0001,1.4,0.5269598046938578,0.7666666666666667,0.5569821079572042,0.75
31,0.5,16,10,10,1,0.2,0.0001,1.5,0.5251531918843587,0.7666666666666667,0.5507607777913411,0.7333333333333333
